ROW_ID,ORDER_ID,ORDER_DATE,ORDER_PRIORITY,ORDER_QUANTITY,SALES,DISCOUNT,SHIP_MODE,PROFIT,UNIT_PRICE,SHIPPING_COST,CUSTOMER_NAME,PROVINCE,REGION,CUSTOMER_SEGMENT,PRODUCT_CATEGORY,PRODUCT_SUBCATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,PRODUCT_BASE_MARGIN,SHIP_DATE
822,5925,2011-11-12T00:00:00,Low,25,1733.3625,0.07,Regular Air,-267.014,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,2011-11-19T00:00:00
839,6016,2012-01-20T00:00:00,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creations� Ink Jet Cards and Labels,Small Box,0.36,2012-01-20T00:00:00
853,6116,2009-03-20T00:00:00,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,2009-03-22T00:00:00
863,6182,2012-07-21T00:00:00,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,2012-07-28T00:00:00
864,6182,2012-07-21T00:00:00,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,2012-07-25T00:00:00
911,6535,2012-06-12T00:00:00,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,2012-06-15T00:00:00
950,6884,2009-01-15T00:00:00,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,2009-01-20T00:00:00
951,6884,2009-01-15T00:00:00,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16""""",Wrap Bag,0.39,2009-01-20T00:00:00
956,6916,2010-06-04T00:00:00,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files�,Small Box,0.59,2010-06-08T00:00:00
963,6980,2010-02-18T00:00:00,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2010-02-19T00:00:00
964,6982,2011-11-16T00:00:00,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2011-11-18T00:00:00
965,6982,2011-11-16T00:00:00,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,2011-11-18T00:00:00
966,6982,2011-11-16T00:00:00,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,2011-11-18T00:00:00
988,7110,2011-08-07T00:00:00,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,0.38,2011-08-11T00:00:00
1017,7430,2010-06-08T00:00:00,Medium,50,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.5,2010-06-09T00:00:00
1073,7906,2009-10-17T00:00:00,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.56,2009-10-17T00:00:00
1154,8391,2011-08-28T00:00:00,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.38,2011-08-29T00:00:00
1156,8419,2011-09-29T00:00:00,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.37,2011-10-01T00:00:00
1157,8419,2011-09-29T00:00:00,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.81,2011-09-30T00:00:00
1205,8833,2012-05-04T00:00:00,Low,40,3338.98,0,Regular Air,-846.73,80.98,35,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.37,2012-05-08T00:00:00
1226,8995,2011-05-17T00:00:00,High,5,24.16,0.08,Express Air,8.0495,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples� General Use 3-Ring Binders,Small Box,0.36,2011-05-18T00:00:00
1227,8995,2011-05-17T00:00:00,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.59,2011-05-18T00:00:00
1228,8995,2011-05-17T00:00:00,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.37,2011-05-18T00:00:00
1229,8995,2011-05-17T00:00:00,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.83,2011-05-18T00:00:00
1230,8995,2011-05-17T00:00:00,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.55,2011-05-19T00:00:00
1258,9126,2009-11-17T00:00:00,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.8,2009-11-18T00:00:00
1259,9127,2011-10-10T00:00:00,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.57,2011-10-12T00:00:00
1299,9509,2012-10-07T00:00:00,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda� Round Back Stacking Chairs,Jumbo Drum,0.37,2012-10-08T00:00:00
1300,9509,2012-10-07T00:00:00,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.38,2012-10-08T00:00:00
1301,9509,2012-10-07T00:00:00,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.39,2012-10-07T00:00:00
1337,9763,2011-08-13T00:00:00,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.65,2011-08-16T00:00:00
1370,9927,2011-08-16T00:00:00,High,32,4655.07,0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.57,2011-08-17T00:00:00
1371,9927,2011-08-16T00:00:00,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage� Folding Chairs, 4/Carton",Large Box,0.73,2011-08-17T00:00:00
1445,10437,2009-08-18T00:00:00,Critical,50,820.52,0.01,Regular Air,-191.222,15.99,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2 x 11""""",Small Box,0.75,2009-08-20T00:00:00
1457,10499,2010-11-16T00:00:00,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.55,2010-11-17T00:00:00
1462,10535,2011-05-27T00:00:00,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"Linden� 12 Wall Clock With Oak Frame""",Small Box,0.56,2011-05-29T00:00:00
1463,10535,2011-05-27T00:00:00,Low,46,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.44,2011-06-03T00:00:00
1495,10789,2010-08-23T00:00:00,Not Specified,15,308.54,0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.38,2010-08-24T00:00:00
1496,10791,2011-08-19T00:00:00,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.57,2011-08-21T00:00:00
1513,10945,2012-01-03T00:00:00,Medium,14,1170.025,0.04,Regular Air,4.221,95.99,8.99,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.78,2012-01-05T00:00:00
1544,11137,2012-11-29T00:00:00,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.39,2012-11-30T00:00:00
1551,11202,2012-03-17T00:00:00,Medium,8,339.81,0.05,Regular Air,79.5855,43.41,2.99,Barry Weirich,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.61,2012-03-18T00:00:00
1589,11456,2010-04-12T00:00:00,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.38,2010-04-19T00:00:00
1590,11460,2010-08-24T00:00:00,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.65,2010-08-26T00:00:00
1,3,2010-10-13T00:00:00,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.58,2010-10-20T00:00:00
49,293,2012-10-01T00:00:00,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact Cube"" Office Refrigerators""",Jumbo Drum,0.39,2012-10-02T00:00:00
50,293,2012-10-01T00:00:00,High,27,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Small Box,0.58,2012-10-03T00:00:00
80,483,2011-07-10T00:00:00,High,30,4965.7595,0.08,Regular Air,1198.971,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.5,2011-07-12T00:00:00
85,515,2010-08-28T00:00:00,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.37,2010-08-30T00:00:00
86,515,2010-08-28T00:00:00,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.38,2010-08-30T00:00:00
103,643,2011-03-24T00:00:00,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0.38,2011-03-25T00:00:00
107,678,2010-02-26T00:00:00,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.4,2010-02-26T00:00:00
127,807,2010-11-23T00:00:00,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.53,2010-11-24T00:00:00
128,807,2010-11-23T00:00:00,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.5,2010-11-24T00:00:00
134,868,2012-06-08T00:00:00,Not Specified,32,716.84,0,Regular Air,134.72,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.71,2012-06-09T00:00:00
135,868,2012-06-08T00:00:00,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.37,2012-06-10T00:00:00
149,933,2012-08-04T00:00:00,Not Specified,15,80.61,0.02,Regular Air,-4.715,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1 Hanging DublLock� Ring Binders""",Small Box,0.53,2012-08-04T00:00:00
160,995,2011-05-30T00:00:00,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.4,2011-05-31T00:00:00
161,998,2009-11-25T00:00:00,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8 x 9 1/2"" Premium Diagonal Seam Envelopes""",Small Box,0.6,2009-11-26T00:00:00
175,1154,2012-02-14T00:00:00,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.68,2012-02-16T00:00:00
176,1154,2012-02-14T00:00:00,Critical,11,663.784,0.25,Regular Air,-481.041,71.37,69,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.59,2012-02-16T00:00:00
203,1344,2012-04-15T00:00:00,Low,15,834.904,0.06,Regular Air,-11.682,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.58,2012-04-22T00:00:00
204,1344,2012-04-15T00:00:00,Low,18,2480.9205,0.01,Regular Air,313.578,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.38,2012-04-19T00:00:00
213,1412,2010-03-12T00:00:00,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.8,2010-03-14T00:00:00
214,1412,2010-03-12T00:00:00,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.37,2010-03-14T00:00:00
231,1540,2012-08-04T00:00:00,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.54,2012-08-06T00:00:00
249,1702,2011-05-06T00:00:00,High,23,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent� Tank-Style Highlighters,Wrap Bag,0.38,2011-05-07T00:00:00
250,1761,2010-12-23T00:00:00,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.59,2010-12-25T00:00:00
256,1792,2010-11-08T00:00:00,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.56,2010-11-13T00:00:00
332,2277,2011-01-01T00:00:00,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.38,2011-01-03T00:00:00
362,2532,2011-10-10T00:00:00,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.81,2011-10-11T00:00:00
363,2532,2011-10-10T00:00:00,High,24,426.037,0.01,Regular Air,-78.958,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.55,2011-10-11T00:00:00
381,2631,2010-09-23T00:00:00,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.57,2010-09-25T00:00:00
406,2757,2011-07-19T00:00:00,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.37,2011-07-19T00:00:00
413,2791,2009-10-09T00:00:00,High,47,191.67,0,Regular Air,-236.2675,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.64,2009-10-09T00:00:00
440,2976,2010-12-09T00:00:00,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy� Executive Leather Low-Back Tilter,Jumbo Drum,0.35,2010-12-11T00:00:00
471,3232,2012-10-08T00:00:00,Critical,5,42.66,0.06,Regular Air,-11.8335,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal,Small Box,0.37,2012-10-10T00:00:00
513,3524,2012-05-02T00:00:00,High,21,427.32,0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.57,2012-05-03T00:00:00
577,3908,2010-03-08T00:00:00,Medium,8,820.284,0,Regular Air,-180.202,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.4,2010-03-08T00:00:00
2728,19686,2010-08-15T00:00:00,Medium,11,152.67,0.04,Regular Air,12.7585,12.95,4.98,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,0.59,2010-08-17T00:00:00
2768,20007,2009-08-05T00:00:00,Not Specified,49,82.61,0.08,Regular Air,-46.25,1.68,1.57,Nicole Hansen,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Pens & Art Supplies,Newell 323,Wrap Bag,0.6,2009-08-06T00:00:00
2782,20071,2011-09-17T00:00:00,Medium,31,789.94,0.1,Delivery Truck,-190.41,25.98,14.36,Cari Schnelling,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,"Global Stack Chair without Arms, Black",Jumbo Drum,0.38,2011-09-19T00:00:00
2796,20160,2011-10-22T00:00:00,Low,42,435.24,0.08,Express Air,174.89,10.31,1.79,Chad Cunningham,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Speediset Carbonless Redi-Letter� 7 x 8 1/2""""",Wrap Bag,0.39,2011-10-24T00:00:00
2811,20263,2009-11-14T00:00:00,Medium,8,473.7,0.05,Regular Air,72.5135,59.78,10.29,Bryan Mills,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,GBC Recycled Regency Composition Covers,Small Box,0.83,2009-11-15T00:00:00
2812,20263,2009-11-14T00:00:00,Medium,33,553.5625,0.08,Regular Air,-76.857,20.99,1.25,Bryan Mills,Northwest Territories,Northwest Territories,Small Business,Technology,Telephones and Communication,Accessory29,Small Pack,0.59,2009-11-16T00:00:00
2935,21285,2010-07-03T00:00:00,Medium,32,54.78,0.02,Regular Air,-30.54,1.68,1.57,Adrian Hane,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 323,Wrap Bag,0.47,2010-07-04T00:00:00
2936,21285,2010-07-03T00:00:00,Medium,47,304.83,0.1,Regular Air,23.82,7.08,2.35,Adrian Hane,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,SANFORD Major Accent� Highlighters,Wrap Bag,0.37,2010-07-05T00:00:00
2956,21383,2009-01-30T00:00:00,Low,31,16066.85,0.07,Regular Air,7416.43,574.74,24.49,Rick Reed,Northwest Territories,Northwest Territories,Consumer,Technology,Office Machines,Polycom ViaVideo� Desktop Video Communications Unit,Large Box,0.41,2009-02-04T00:00:00
